iter	Passed	Remaining
0	1	104
1	1	91
2	2	89
3	3	81
4	4	79
5	5	78
6	5	76
7	6	75
8	7	74
9	8	73
10	8	72
11	9	71
12	10	71
13	11	70
14	12	69
15	12	67
16	13	67
17	14	66
18	15	65
19	16	65
20	17	64
21	18	63
22	18	63
23	19	62
24	20	62
25	21	61
26	22	60
27	23	60
28	24	60
29	25	60
30	26	59
31	27	58
32	28	57
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
